SquareFeet,Bedrooms,Bathrooms,Age,Floor,DistanceToDowntown,HasParking,Rent
614.0,2.0,1.0,14.0,3,4.54,1,2457.91
1134.0,1.0,1.0,18.0,8,5.08,1,2949.49
880.0,2.0,1.0,18.0,5,3.48,1,3104.69
912.0,1.0,1.0,7.0,3,5.04,1,2685.09
1193.0,1.0,1.0,28.0,8,5.74,1,2627.52
858.0,2.0,2.0,2.0,3,3.87,1,3209.45
937.0,3.0,3.0,11.0,1,5.43,1,3380.34
804.0,2.0,2.0,12.0,9,6.86,1,3185.17
1059.0,3.0,2.0,25.0,7,4.91,1,3419.1
798.0,1.0,1.0,44.0,9,5.28,1,2498.42
503.0,1.0,1.0,42.0,9,5.82,1,2015.8
904.0,1.0,1.0,0.0,7,2.96,1,3044.69
710.0,3.0,3.0,49.0,4,3.92,1,3281.76
476.0,4.0,3.0,29.0,5,6.61,0,3474.7
761.0,1.0,1.0,5.0,4,5.19,1,2576.54
1071.0,1.0,1.0,3.0,7,4.79,1,2926.34
668.0,2.0,2.0,5.0,4,9.23,0,2548.19
627.0,1.0,1.0,8.0,4,8.33,0,2102.52
875.0,2.0,1.0,3.0,7,4.78,1,3041.66
898.0,2.0,2.0,15.0,3,4.14,1,3084.95
594.0,1.0,1.0,5.0,8,2.78,1,2758.23
675.0,1.0,1.0,12.0,5,3.87,1,2872.97
683.0,3.0,2.0,35.0,2,7.14,1,2845.06
768.0,1.0,1.0,49.0,3,6.4,0,1919.21
991.0,2.0,1.0,0.0,6,5.23,1,2949.51
959.0,2.0,2.0,10.0,4,5.81,1,3209.06
860.0,1.0,1.0,28.0,6,6.35,1,2362.2
764.0,2.0,2.0,8.0,6,9.69,1,2553.27
915.0,1.0,1.0,31.0,5,4.24,1,2720.32
956.0,1.0,1.0,1.0,2,4.28,0,2446.12
982.0,3.0,2.0,11.0,7,4.14,1,3569.97
874.0,3.0,2.0,4.0,6,3.71,1,3791.02
968.0,3.0,2.0,33.0,7,8.5,0,2704.23
663.0,2.0,2.0,48.0,6,4.23,1,2897.78
1069.0,2.0,1.0,12.0,8,3.06,1,3392.41
790.0,2.0,2.0,39.0,8,6.06,1,2994.1
758.0,2.0,2.0,9.0,9,6.54,0,2535.06
